Player,Game1,Game2,Game3,Game4,Game5,Game6
Bogdan Bogdanović,21,18,17,11,18,17
Austin Reaves,19,21,22,9,13,16
Davis Bertans,7,15,16,2,7,11
GG Jackson,44,31,22,11,17,15
Sandro Mamukelashvili,18,21,0,11,15,10
Andre Drummond,14,17,20,10,21,16
Luke Kennard,3,19,9,9,17,13
Brandon Miller,27,21,13,32,21,19
Luka Dončić,28,29,27,32,30,36
KJ Martin,11,9,10,15,2,11
Josh Hart,10,5,18,10,19,24
Ivica Zubac,17,15,13,19,13,20
Immanuel Quickley,15,32,31,25,16,20
MarJon Beauchamp,16,36,22,11,10,18
Justin Champagnie,25,19,11,8,23,16
Deni Avdija,9,24,15,32,22,23
Marvin Bagley III,12,15,18,10,23,20
Tobias Harris,0,19,10,8,10,7
Ben Simmons,2,8,4,11,10,8
LaMelo Ball,17,18,28,29,21,28
Miles Bridges,18,22,15,23,26,33
Paolo Banchero,38,27,39,9,31,21
Obi Toppin,12,15,7,17,15,23
Jerami Grant,14,20,10,24,15,25
Nikola Vučević,16,24,29,27,26,8
Jabari Walker,17,4,14,11,14,18
Brook Lopez,20,12,27,14,22,11
Tyrese Maxey,17,46,23,25,35,33
Vince Williams Jr.,14,17,11,21,8,11
Jeremy Sochan,17,26,6,13,4,19
Dennis Schröder,21,4,24,12,14,27
Anfernee Simons,14,30,25,36,17,23
Jabari Smith Jr.,15,8,7,23,12,15
Cedi Osman,18,8,20,13,15,6
Orlando Robinson,9,21,15,25,12,34
Onyeka Okongwu,11,11,21,19,18,22
Olivier-Maxence Prosper,15,16,28,13,23,20
R.J. Hampton,32,10,25,30,17,24
Zach LaVine,17,10,25,25,9,15
Caris LeVert,19,15,21,4,15,5
Alec Burks,26,11,13,25,11,10
Nic Claxton,9,14,5,14,7,10
Coby White,13,42,26,20,18,24
Xavier Tillman,7,10,10,2,12,20
Kevon Looney,9,4,8,2,6,2
Jimmy Butler,19,14,12,25,27,22
Kyrie Irving,15,21,35,16,12,36
Dalano Banton,17,28,12,28,21,12
Jaylen Nowell,26,39,32,22,8,17
Corey Kispert,8,23,25,21,12,17
Miles McBride,8,20,17,16,10,14
Kris Dunn,5,8,11,4,8,8
Isaiah Livers,11,10,2,3,2,6
Josh Richardson,9,13,14,7,24,9
Max Strus,12,15,6,12,5,13
D'Angelo Russell,14,21,23,13,21,19
Dorian Finney-Smith,10,5,12,4,11,2
Terance Mann,14,11,11,13,24,17
Jalen Johnson,17,6,28,11,25,18
Harrison Barnes,17,17,17,12,22,10
Kelly Olynyk,8,22,21,12,14,18
Herbert Jones,11,15,18,8,5,10
Dwight Powell,2,2,4,9,6,12
Javon Freeman-Liberty,8,20,16,11,14,15
Jonathan Kuminga,16,19,21,18,14,11
Dyson Daniels,6,10,4,10,7,9
Brice Sensabaugh,14,9,22,22,0,16
Vasilije Micić,6,17,14,13,10,10
Malik Beasley,18,20,9,17,8,5
Isaiah Hartenstein,0,4,7,6,14,13
Aaron Nesmith,14,4,9,14,19,8
Andrew Nembhard,24,32,16,12,20,15
Paul George,18,15,33,7,22,22
Craig Porter Jr.,8,13,20,27,9,19
Trey Murphy III,7,10,8,21,16,12
Markelle Fultz,18,15,12,12,2,13
Jalen Duren,20,15,11,20,11,11
Jarrett Allen,21,16,16,29,16,17
Nicolas Batum,16,8,4,6,3,20
Deandre Ayton,25,30,22,34,24,20
Klay Thompson,0,19,27,32,16,29
Mike Conley,14,16,18,6,10,13
Caleb Martin,10,18,5,21,4,7
DeMar DeRozan,22,22,30,39,34,30
Fred VanVleet,42,37,24,13,10,22
Zach Collins,20,15,18,22,12,16
Keyonte George,14,20,10,25,9,18
Franz Wagner,6,26,14,34,16,18
Ochai Agbaji,10,7,7,2,9,3
Caleb Houstan,9,6,14,9,8,25
Evan Mobley,33,19,17,21,17,11
Mikal Bridges,8,13,17,19,13,25
Pascal Siakam,19,22,28,24,20,25
Trey Jemison III,106,88,122,84,99,106
Trae Young,22,12,19,11,12,19
Terry Rozier,13,22,34,27,22,15
Brandin Podziemski,9,16,14,5,4,13
Jaren Jackson Jr.,35,40,4,17,11,28
Aaron Gordon,4,12,18,27,13,20
Cameron Payne,5,10,24,8,7,16
Chris Paul,9,8,11,12,9,11
Anthony Edwards,28,29,26,21,19,16
Wendell Carter Jr.,13,11,7,2,11,13
Luke Kornet,11,16,8,4,12,6
Jalen Smith,19,17,8,11,7,15
Tre Mann,19,16,11,18,7,11
Aaron Wiggins,26,10,15,15,16,20
Kawhi Leonard,9,15,23,29,17,26
Kevin Knox II,37,21,12,14,27,17
Jalen Suggs,10,22,13,12,24,9
Darius Garland,11,30,15,14,14,12
Matt Ryan,10,14,12,17,20,12
Skylar Mays,24,17,25,19,21,13
Sam Merrill,9,18,12,1,11,11
Saddiq Bey,14,3,23,17,23,6
Marques Bolden,14,6,11,25,10,16
Malaki Branham,10,22,14,24,12,20
Paul Reed,13,11,12,4,14,13
Bennedict Mathurin,19,13,16,34,14,15
Kristaps Porziņģis,18,6,18,14,12,27
Dejounte Murray,30,32,12,29,14,16
CJ McCollum,20,16,15,20,7,9
Buddy Hield,18,7,17,7,16,8
Bruno Fernando,5,25,7,6,9,3
Bobby Portis,20,29,17,14,15,17
Brandon Ingram,8,19,18,12,24,11
Zion Williamson,40,12,26,31,22,29
Keegan Murray,11,32,12,23,19,15
Donte DiVincenzo,39,17,8,7,35,28
Kentavious Caldwell-Pope,5,9,16,3,12,4
Quentin Grimes,5,7,19,0,11,12
Simone Fontecchio,13,24,12,17,27,22
Jalen Wilson,9,11,11,12,6,8
Davion Mitchell,13,12,7,11,14,18
Gradey Dick,14,8,24,10,16,14
Jake LaRavia,29,28,32,12,9,12
Bojan Bogdanović,13,14,19,20,20,11
Duncan Robinson,6,6,30,16,11,16
Ziaire Williams,9,9,16,6,10,27
Luguentz Dort,11,12,17,8,8,7
Jamal Murray,35,10,16,19,24,8
T.J. McConnell,15,23,13,22,17,26
Jonas Valanciunas,19,13,19,13,26,15
Ashton Hagans,13,14,22,24,19,13
Stanley Umude,10,17,15,13,33,10
Christian Wood,3,17,12,16,12,6
Duop Reath,13,24,13,16,16,26
James Wiseman,21,10,4,10,14,15
Julius Randle,19,17,30,18,21,31
Dillon Brooks,9,8,15,29,18,5
Rudy Gobert,9,13,9,16,12,13
Scottie Barnes,19,21,20,18,29,7
Torrey Craig,11,10,12,9,7,10
Shaedon Sharpe,21,12,7,4,27,24
Kevin Durant,33,25,18,31,15,28
Marcus Smart,25,29,6,5,12,22
Maozinha Pereira,13,17,7,17,8,6
Josh Giddey,14,21,13,20,20,14
Cameron Johnson,13,13,17,12,14,13
Ayo Dosunmu,10,19,14,24,15,13
